"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"1nF1,100nF1","2","C","","","","",""
"10Ω111?","1","R","","","","",""
"100nF2","1","C2","","","","",""
"C1,C2,C3,C6,C8,C9,C10,C12,C15,C17,C18,C20,C21,C22,C23,C25,C27,C29,C30,C31,C32,C35","22","100nF","","","","",""
"C4,C5,C13,C14,C16,C19","6","100µF","","","","",""
"C7,C11,C24,C26,C33","5","10µF","","","","",""
"C28,C34","2","10nF","","","","",""
"D1","1","D_Zener","","","","",""
"D2","1","green LED","","","","",""
"D3","1","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D4","1","1N5822","","","","",""
"D5","1","D2","","","","",""
"D6,D7","2","BAV99","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf"
"F1","1","Polyfuse","","","","",""
"J1","1","24 V PSU input","","","","",""
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Motor 1 coil A","","","","",""
"J4","1","Motor 1 coil B","","","","",""
"J5","1","Motor 2 coil A","","","","",""
"J6","1","Motor 2 coil B","","","","",""
"J7","1","raspberry pi UART","","","","",""
"J8","1","motor 1","","","","",""
"J9","1","motor 2","","","","",""
"J10","1","Conn_01x14","","","","",""
"J11","1","Conn_01x03","","","","",""
"J12,J14","2","Conn_Coaxial","","","","",""
"J13","1","LED Panel","","","","",""
"L1","1","100µH","","","","",""
"Q1","1","AO3401","","","","",""
"R1,R2,R3,R4,R9,R10,R11,R12,R13,R14,R21,R22,R23,R24,R25,R28,R29,R34","18","10kΩ","","","","",""
"R5","1","10k","","","","",""
"R6","1","330Ω","","","","",""
"R7,R8,R15,R16","4","0.11Ω","","","","",""
"R17,R18","2","5.1kΩ","","","","",""
"R19","1","4.7kΩ","","","","",""
"R20,R26,R31,R36","4","100Ω","","","","",""
"R27,R35","2","910Ω","","","","",""
"R30,R32","2","47Ω","","","","",""
"R33","1","390Ω","","","","",""
"U1,U4","2","TMC2209-LA","","","","Package_DFN_QFN:VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias","https://www.analog.com/media/en/technical-documentation/data-sheets/TMC2209_datasheet_rev1.09.pdf"
"U2","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U5","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U6,U7","2","OPA2354","","","","OPA2354AQDGKRQ1:SOP65P490X110-8N",""
"U8","1","AD9833xRM","","","","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ad9833.pdf"
